USER_ID,word1,word2,word3,word4,word5,market_pred_by_user,actual_market_behavior
0001,5,2,1,3,4,0,0
0002,2,4,3,1,4,0,1
0003,1,3,2,5,4,1,0
0004,2,4,3,1,5,1,1
0005,1,1,3,5,2,1,0
0006,1,2,3,2,5,0,0
0007,1,5,1,2,3,0,0
0008,4,5,4,3,1,1,1
0009,1,5,2,2,4,1,1
0010,2,1,1,5,3,1,0
0011,3,1,3,2,1,0,1
0012,1,1,1,2,3,0,0
0013,3,3,2,2,1,0,0
0014,5,5,1,2,5,0,0
0015,4,5,5,3,3,1,1
0016,3,3,2,5,1,0,1
0017,1,4,5,2,2,1,1
0018,2,5,1,3,4,1,0
0019,1,1,3,1,4,1,1
0020,5,4,3,2,1,1,1
0021,5,1,5,2,1,0,0
0022,1,2,4,2,2,1,0
0023,3,3,3,3,3,0,0
0024,2,4,2,1,4,0,0
0025,4,5,1,4,5,1,1
0026,1,1,1,2,1,1,0
0027,3,2,3,5,2,0,1
0028,2,3,4,2,3,0,0
0029,5,4,5,1,4,1,1
0030,3,5,5,1,5,0,0
0031,1,1,4,5,1,1,1
0032,4,2,3,4,2,0,0
0033,3,3,2,5,3,1,1
0034,1,4,1,2,4,0,1
0035,2,5,1,1,5,0,1
0036,2,5,2,4,1,1,0
0037,4,4,3,3,2,1,1
0038,3,3,4,2,3,1,1
0039,5,2,4,4,4,0,1
0040,1,1,5,1,5,0,0
0041,5,2,4,1,2,0,1
0042,3,4,4,2,3,1,0
0043,4,3,2,3,4,1,1
0044,4,3,1,2,3,0,0
0045,1,1,3,4,5,1,1
0046,1,2,1,3,5,1,1
0047,3,5,2,4,5,1,0
0048,4,5,1,3,1,0,0
0049,4,3,1,1,3,0,0
0050,2,2,5,5,3,0,1
0051,1,4,4,3,2,0,0
0052,3,1,4,4,1,1,1
0053,3,5,1,1,5,0,0
0054,3,2,2,2,4,0,1
0055,3,4,1,2,4,0,0
0056,1,4,5,4,2,1,1
0057,1,4,1,2,4,1,0
0058,3,2,3,4,2,0,1
0059,5,2,3,4,4,0,1
0060,4,4,1,2,3,1,1
0061,4,1,1,2,1,0,0
0062,2,1,3,4,3,1,1
0063,1,4,3,2,1,0,1
0064,4,1,5,4,3,1,1
0065,5,4,4,3,2,0,0
0066,1,3,1,1,2,1,0
0067,2,1,5,3,1,0,1
0068,5,1,2,3,4,1,0
0069,3,4,3,4,5,0,1
0070,4,5,1,2,3,0,1
0071,5,4,5,4,1,1,0
0072,3,3,3,3,1,0,0
0073,1,5,3,4,1,1,0
0074,2,1,3,3,1,1,1
0075,4,4,5,4,3,1,1
0076,4,5,5,5,3,1,0
0077,1,3,1,2,2,0,0
0078,2,5,2,2,4,1,0
0079,3,1,3,5,5,0,0
0080,1,3,2,1,1,0,1
0081,3,2,4,3,3,0,0
0082,4,1,1,3,2,1,1
0083,5,5,1,4,2,0,0
0084,4,1,5,2,4,0,1
0085,3,4,2,3,4,0,0
0086,2,3,2,1,5,1,1
0087,1,5,1,3,3,0,0
0088,2,1,4,3,1,1,1
0089,3,4,3,4,1,1,0
0090,4,2,5,3,1,1,0
0091,5,1,1,1,1,0,1
0092,2,1,4,4,2,1,0
0093,3,5,5,5,3,0,0
0094,4,4,2,2,2,1,0
0095,5,3,3,3,2,0,1
0096,1,5,1,1,4,1,0
0097,2,4,5,5,2,0,1
0098,3,3,2,3,5,1,0
0099,4,2,4,1,2,1,1
0100,5,1,2,3,4,1,0

